flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,type,doh_server
"(('192.168.20.210', 33324), ('8.8.4.4', 443))",1,275,74.12368500104103,105.74191502853519,2.288818359375e-05,1.0014939308166504,0.049970989060978355,0.05850865697891869,26,2133,95.0510660897087,94.77038282876822,9.5367431640625e-07,1.0014939308166504,0.02524301686011376,0.05114075452134209,1,2133,88.73136821681216,98.45285729488134,9.5367431640625e-07,1.0014939308166504,0.016771331231655678,0.040936953657006864,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33328), ('8.8.4.4', 443))",1,275,73.80189408781564,105.3779181755143,2.384185791015625e-05,1.0014300346374512,0.04849424480124309,0.05860320005313352,26,48480,324.9942311378948,109.41733052171196,9.5367431640625e-07,1.0014300346374512,0.024575977354861202,0.05171611061607974,1,48480,268.1986344778141,108.0586466944826,9.5367431640625e-07,1.0014300346374512,0.016310535143070876,0.04041725430426215,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33332), ('8.8.4.4', 443))",1,275,72.66322196208961,103.95497718943983,2.288818359375e-05,1.001479148864746,0.04722269371363683,0.056107032906613556,26,23288,186.63245529540725,108.17444111284017,9.5367431640625e-07,1.001479148864746,0.02396289504833159,0.04929056026701502,1,23288,157.75648212581515,106.7539654564681,9.5367431640625e-07,1.001479148864746,0.01589665420226413,0.03888045189381883,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33336), ('8.8.4.4', 443))",1,275,74.47052034563053,106.55625392834695,2.5033950805664062e-05,1.0014748573303223,0.049293726642854724,0.058365762587236,26,60376,395.1554700290683,106.98896971613821,9.5367431640625e-07,1.0014748573303223,0.02480212652268031,0.050929762927362364,1,60376,325.1666269898404,106.84411656409448,9.5367431640625e-07,1.0014748573303223,0.016500388179785174,0.04066936698464954,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33340), ('8.8.4.4', 443))",1,275,73.36239652900512,105.00904060478528,2.5033950805664062e-05,1.001493215560913,0.04897558198528929,0.058286274435953536,26,32665,238.12054700163074,110.72757671125099,9.5367431640625e-07,1.001493215560913,0.024718357729843335,0.05087693330814409,1,32665,198.73099238230412,108.80933831795247,9.5367431640625e-07,1.001493215560913,0.016427626584869584,0.04043065303924382,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33344), ('8.8.4.4', 443))",1,275,72.84640151300418,103.89428983089407,1.9073486328125e-05,1.0014369487762451,0.047576956931220805,0.05805253882670449,26,900,108.21886811872837,101.10933056644377,9.5367431640625e-07,1.0014369487762451,0.024107776529842754,0.05108079815572849,1,900,97.77003647537674,102.04598434033002,9.5367431640625e-07,1.0014369487762451,0.016000554838172757,0.039868962648755744,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33348), ('8.8.4.4', 443))",1,275,73.12912296084694,104.0503817936817,2.09808349609375e-05,1.0014221668243408,0.046137529602216426,0.049376446243580875,26,46369,298.264857462442,94.58653520490724,9.5367431640625e-07,1.0014221668243408,0.023190512717102155,0.04407109203091519,1,46369,247.00344016888835,97.752447972753,9.5367431640625e-07,1.0014221668243408,0.015433483167964057,0.035434994072321736,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33352), ('8.8.4.4', 443))",1,275,74.28350546616606,106.25165082944113,1.811981201171875e-05,1.001410961151123,0.05052446420424858,0.0613449145326317,26,21162,167.0609352894411,97.9564790174002,9.5367431640625e-07,1.001410961151123,0.02568460854006485,0.0532740154086728,1,21162,142.75047294759588,100.75238172787232,9.5367431640625e-07,1.0014081001281738,0.01702845317909328,0.0422805317548847,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33356), ('8.8.4.4', 443))",1,275,72.94737604270455,104.10198665453443,2.4080276489257812e-05,1.0014469623565674,0.04819032176283824,0.058483533997406696,26,40166,270.46504648190523,102.38031251199754,9.5367431640625e-07,1.0014469623565674,0.024397015397672982,0.05151963143354811,1,40166,224.39340965449205,102.95901618452912,9.5367431640625e-07,1.0014469623565674,0.016197323063836158,0.04013131226911024,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33360), ('8.8.4.4', 443))",1,275,74.3914009242168,105.9644734865555,2.3126602172851562e-05,1.0014469623565674,0.04786743364138543,0.057769978286561975,26,4252,85.62894453964851,88.0149788711138,9.5367431640625e-07,1.0014469623565674,0.0240432339353669,0.05047927566782218,1,4252,82.47875642110375,94.01677633231202,9.5367431640625e-07,1.0014469623565674,0.016004700104672986,0.0400916569172741,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33364), ('8.8.4.4', 443))",1,275,73.67865663776179,104.81439505445982,2.6941299438476562e-05,1.0014560222625732,0.046688869807194985,0.05411458143065264,26,563,89.01136843919937,91.57824561403508,9.5367431640625e-07,1.0014560222625732,0.02342916115300557,0.04781104564529697,1,563,84.43012455324644,96.0012542114453,9.5367431640625e-07,1.0014560222625732,0.015600847820332454,0.038035405173568064,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33368), ('8.8.4.4', 443))",1,275,73.03020955633727,104.25059355135177,1.6927719116210938e-05,1.0014359951019287,0.048425450135825894,0.058396026461983615,26,12369,126.08131169049639,97.85537925696595,9.5367431640625e-07,1.0014359951019287,0.02446695986793914,0.05225818618050959,1,12369,111.17457452167682,100.00213384065609,9.5367431640625e-07,1.0014359951019287,0.016254696549088413,0.04038304326370077,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33372), ('8.8.4.4', 443))",1,275,73.14300138611726,104.6112222906404,2.4080276489257812e-05,1.0014698505401611,0.04844088776815792,0.059228085061646916,26,6631,107.0132568737736,96.91802958741559,9.5367431640625e-07,1.0014698505401611,0.024563020691583882,0.056038371616903705,1,6631,97.01465739793053,99.50666908393981,9.5367431640625e-07,1.0014698505401611,0.016298771639371653,0.040723533095578635,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33376), ('8.8.4.4', 443))",1,275,74.21455193050343,106.10688817490792,2.288818359375e-05,1.0014879703521729,0.04932186074765125,0.06409832463790666,26,911,113.1068170498646,104.07763084521628,9.5367431640625e-07,1.0014879703521729,0.02506694092833172,0.05708967418372548,1,911,101.68059214119134,104.76148097287876,9.5367431640625e-07,1.0014879703521729,0.016620370335922195,0.0430592314754826,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33380), ('8.8.4.4', 443))",1,275,74.44848464205981,106.61598834857189,2.193450927734375e-05,1.0014557838439941,0.05091486293186472,0.062004681477369955,26,58193,387.663384440726,105.25456780008193,9.5367431640625e-07,1.0014557838439941,0.025775947888835478,0.05480424270130439,1,58193,318.7983594676424,105.71217601784112,9.5367431640625e-07,1.0014557838439941,0.01711286651740601,0.042460698236770775,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33384), ('8.8.4.4', 443))",1,275,73.07143448931545,103.9155522718877,1.6927719116210938e-05,1.0014488697052002,0.04702999386774026,0.055674835265995114,26,657,89.05094902089833,91.40619653351186,9.5367431640625e-07,1.0014488697052002,0.02367352587107679,0.0494899629653268,1,657,84.24635261487565,95.59496301427475,9.5367431640625e-07,1.0014488697052002,0.0157472522762493,0.03879049058144086,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33388), ('8.8.4.4', 443))",1,275,73.43262061258535,104.7034770929712,2.4080276489257812e-05,1.0015769004821777,0.04825973726014541,0.05734956745734354,26,22405,162.84178726777054,91.90179446580713,9.5367431640625e-07,1.0015769004821777,0.02438034631979005,0.05041625963259185,1,22405,139.5108048783927,96.19873271889401,9.5367431640625e-07,1.0015769004821777,0.01619777942302724,0.039735685707951135,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33392), ('8.8.4.4', 443))",1,275,73.15695223828445,104.12325846973734,2.6941299438476562e-05,1.0014631748199463,0.04822328765224935,0.05831810578689476,26,48927,326.93036725947223,110.4375,9.5367431640625e-07,1.0014631748199463,0.02440460602592482,0.051154003816290726,1,48927,269.7650378783856,108.31562923734234,9.5367431640625e-07,1.0014631748199463,0.016204386737569538,0.040102295840677656,Malicious,iodine_null-32-tunnel,Google
"(('192.168.20.210', 33396), ('8.8.4.4', 443))",1,275,73.89942285120242,105.45970079110207,2.002716064453125e-05,1.0014359951019287,0.04961285986310913,0.06002405057875441,26,52916,354.83035222080866,113.25671087951997,9.5367431640625e-07,1.0014359951019287,0.025001656905120757,0.05180065807506317,1,52916,292.5020397876672,110.64392766214337,9.5367431640625e-07,1.0014359951019287,0.016624436164954882,0.04123205546689124,Malicious,iodine_null-32-tunnel,Google
